Periode,Tanggal,Bulan,Minggu,Indikator_Harga,Fluktuasi_Tertinggi,Lag_1,Lag_2,Lag_3,Lag_4,MA_3,MA_7,Year,Month,Quarter,WeekOfYear,Data_Source,Last_Updated
17,2023-05-22,Mei,M4,1.2579376757510232,0.1351534,0.7180227660392546,0.5080899334353575,0.1892152914702478,-1.7856442744828769,0.8280167917418785,-0.3833810223932496,2023,5,2,21,uploaded,2025-08-15T00:36:18.816651
18,2023-05-29,Mei,M5,1.5362959621770784,0.2129071,1.2579376757510232,0.7180227660392546,0.5080899334353575,0.1892152914702478,1.1707521346557854,0.0911818685581725,2023,5,2,22,uploaded,2025-08-15T00:36:18.816651
19,2023-06-01,Juni,M1,1.655,0.0366568,1.5362959621770784,1.2579376757510232,0.7180227660392546,0.5080899334353575,1.4830778793093673,0.5827024791985835,2023,6,2,22,uploaded,2025-08-15T00:36:18.816651
20,2023-06-08,Juni,M2,1.649,0.040984,1.655,1.5362959621770784,1.2579376757510232,0.7180227660392546,1.6134319873923595,1.0733659469818515,2023,6,2,23,uploaded,2025-08-15T00:36:18.816651
21,2023-06-15,Juni,M3,1.644,0.0395459,1.649,1.655,1.5362959621770784,1.2579376757510232,1.6493333333333335,1.2811923339146734,2023,6,2,24,uploaded,2025-08-15T00:36:18.816651
22,2023-06-22,Juni,M4,1.071,0.1150448,1.644,1.649,1.655,1.5362959621770784,1.4546666666666666,1.3616080577096223,2023,6,2,25,uploaded,2025-08-15T00:36:18.816651
23,2023-07-01,Juli,M1,-0.02,0.0894427,1.071,1.644,1.649,1.655,0.8983333333333333,1.2561762339897289,2023,7,3,26,uploaded,2025-08-15T00:36:18.816651
24,2023-07-08,Juli,M2,0.115,0.0760726,-0.02,1.071,1.644,1.649,0.3886666666666666,1.092899423168154,2023,7,3,27,uploaded,2025-08-15T00:36:18.816651
25,2023-07-15,Juli,M3,0.13,0.0670399,0.115,-0.02,1.071,1.644,0.075,0.892,2023,7,3,28,uploaded,2025-08-15T00:36:18.816651
26,2023-07-22,Juli,M4,0.093,0.0669665,0.13,0.115,-0.02,1.071,0.1126666666666666,0.6688571428571428,2023,7,3,29,uploaded,2025-08-15T00:36:18.816651
27,2023-08-01,Agustus,M1,-0.03,0.0244379,0.093,0.13,0.115,-0.02,0.0643333333333333,0.4289999999999999,2023,8,3,31,uploaded,2025-08-15T00:36:18.816651
28,2023-08-08,Agustus,M2,-0.737,0.0958266,-0.03,0.093,0.13,0.115,-0.2246666666666666,0.0888571428571428,2023,8,3,32,uploaded,2025-08-15T00:36:18.816651
29,2023-08-15,Agustus,M3,-0.888,0.0928191,-0.737,-0.03,0.093,0.13,-0.5516666666666666,-0.191,2023,8,3,33,uploaded,2025-08-15T00:36:18.816651
30,2023-08-22,Agustus,M4,-0.9,0.0859586,-0.888,-0.737,-0.03,0.093,-0.8416666666666667,-0.3167142857142857,2023,8,3,34,uploaded,2025-08-15T00:36:18.816651
31,2023-09-01,September,M1,-0.548,0.0,-0.9,-0.888,-0.737,-0.03,-0.7786666666666667,-0.4114285714285715,2023,9,3,35,uploaded,2025-08-15T00:36:18.816651
32,2023-09-08,September,M2,-0.6,0.0798555,-0.548,-0.9,-0.888,-0.737,-0.6826666666666666,-0.5157142857142858,2023,9,3,36,uploaded,2025-08-15T00:36:18.816651
33,2023-09-15,September,M3,-0.404,0.1095931,-0.6,-0.548,-0.9,-0.888,-0.5173333333333333,-0.5867142857142857,2023,9,3,37,uploaded,2025-08-15T00:36:18.816651
34,2023-09-22,September,M4,-0.37,0.1169109,-0.404,-0.6,-0.548,-0.9,-0.458,-0.6352857142857143,2023,9,3,38,uploaded,2025-08-15T00:36:18.816651
35,2023-10-01,Oktober,M1,0.101,0.0,-0.37,-0.404,-0.6,-0.548,-0.2243333333333333,-0.5155714285714286,2023,10,4,39,uploaded,2025-08-15T00:36:18.816651
36,2023-10-08,Oktober,M2,0.221,0.0958266,0.101,-0.37,-0.404,-0.6,-0.016,-0.3571428571428572,2023,10,4,40,uploaded,2025-08-15T00:36:18.816651
37,2023-10-15,Oktober,M3,0.323,0.1408591,0.221,0.101,-0.37,-0.404,0.2149999999999999,-0.1824285714285714,2023,10,4,41,uploaded,2025-08-15T00:36:18.816651
38,2023-10-22,Oktober,M4,0.363,0.1764736,0.323,0.221,0.101,-0.37,0.3023333333333333,-0.0522857142857142,2023,10,4,42,uploaded,2025-08-15T00:36:18.816651
39,2023-11-01,November,M1,0.672,0.0,0.363,0.323,0.221,0.101,0.4526666666666667,0.1294285714285714,2023,11,4,44,uploaded,2025-08-15T00:36:18.816651
40,2023-11-08,November,M2,0.887,0.0752923,0.672,0.363,0.323,0.221,0.6406666666666667,0.3138571428571429,2023,11,4,45,uploaded,2025-08-15T00:36:18.816651
41,2023-11-15,November,M3,1.534,0.1904529,0.887,0.672,0.363,0.323,1.031,0.5858571428571429,2023,11,4,46,uploaded,2025-08-15T00:36:18.816651
42,2023-11-22,November,M4,2.0765035605101616,0.2060118,1.534,0.887,0.672,0.363,1.499167853503387,0.8680719372157374,2023,11,4,47,uploaded,2025-08-15T00:36:18.816651
43,2023-12-01,Desember,M1,2.0206197028465738,0.0,2.0765035605101616,1.534,0.887,0.672,1.8770410877855783,1.1251604661938193,2023,12,4,48,uploaded,2025-08-15T00:36:18.816651
44,2023-12-08,Desember,M2,2.414019502250426,0.034003,2.0206197028465738,2.0765035605101616,1.534,0.887,2.1703809218690537,1.4238775379438802,2023,12,4,49,uploaded,2025-08-15T00:36:18.816651
45,2023-12-15,Desember,M3,2.41414612168272,0.0659748,2.414019502250426,2.0206197028465738,2.0765035605101616,1.534,2.2829284422599065,1.7168984124699829,2023,12,4,50,uploaded,2025-08-15T00:36:18.816651
46,2023-12-22,Desember,M4,2.288063549742958,0.0903766,2.41414612168272,2.414019502250426,2.0206197028465738,2.0765035605101616,2.372076391225368,1.947764633861834,2023,12,4,51,uploaded,2025-08-15T00:36:18.816651
47,2024-01-01,Januari '24,M1,0.1662033881202518,0.0524864,2.288063549742958,2.41414612168272,2.414019502250426,2.0206197028465738,1.6228043531819765,1.8447936893075845,2024,1,1,1,uploaded,2025-08-15T00:36:18.816651
48,2024-01-08,Januari '24,M2,-0.7461605869679175,0.0633677,0.1662033881202518,2.288063549742958,2.41414612168272,2.414019502250426,0.5693687836317641,1.519056462597882,2024,1,1,2,uploaded,2025-08-15T00:36:18.816651
49,2024-01-15,Januari '24,M3,-1.6,0.201490174942329,-0.7461605869679175,0.1662033881202518,2.288063549742958,2.41414612168272,-0.7266523996158886,0.9938416682392874,2024,1,1,3,uploaded,2025-08-15T00:36:18.816651
50,2024-01-22,Januari '24,M4,-2.137287863135782,0.2434420942533108,-1.6,-0.7461605869679175,0.1662033881202518,2.288063549742958,-1.4944828167012332,0.3998548730989508,2024,1,1,4,uploaded,2025-08-15T00:36:18.816651
51,2024-02-01,Februari '24,M1,-2.693635272842897,0.0472174618538936,-2.137287863135782,-1.6,-0.7461605869679175,0.1662033881202518,-2.1436410453262265,-0.3298100947715239,2024,2,1,5,uploaded,2025-08-15T00:36:18.816651
52,2024-02-08,Februari '24,M2,-2.327773348251924,0.0318298955783035,-2.693635272842897,-2.137287863135782,-1.6,-0.7461605869679175,-2.386232161410201,-1.0072271619050444,2024,2,1,6,uploaded,2025-08-15T00:36:18.816651
53,2024-02-15,Februari '24,M3,-1.962113808053843,0.0642216474674779,-2.327773348251924,-2.693635272842897,-2.137287863135782,-1.6,-2.3278408097162213,-1.614395355876016,2024,2,1,7,uploaded,2025-08-15T00:36:18.816651
54,2024-02-22,Februari '24,M4,0.3547690866702879,0.0941352964973247,-1.962113808053843,-2.327773348251924,-2.693635272842897,-2.137287863135782,-1.3117060232118265,-1.5874573989402965,2024,2,1,8,uploaded,2025-08-15T00:36:18.816651
55,2024-02-29,Februari '24,M5,1.492309381872346,0.209758486026575,0.3547690866702879,-1.962113808053843,-2.327773348251924,-2.693635272842897,-0.038345113170403,-1.2676759748202588,2024,2,1,9,uploaded,2025-08-15T00:36:18.816651
57,2024-03-08,Maret'24,M2,4.793116301067357,0.0496986378399769,4.523430649649527,1.492309381872346,0.3547690866702879,-1.962113808053843,3.6029521108630767,0.5971575700158362,2024,3,1,10,uploaded,2025-08-15T00:36:18.816651
58,2024-03-15,Maret'24,M3,4.48868801358844,0.210708888433251,4.793116301067357,4.523430649649527,1.492309381872346,0.3547690866702879,4.601744988101775,1.6232037537917416,2024,3,1,11,uploaded,2025-08-15T00:36:18.816651
59,2024-03-22,Maret'24,M4,3.923662580710431,0.260894725034705,4.48868801358844,4.793116301067357,4.523430649649527,1.492309381872346,4.40182229845541,2.516266029357792,2024,3,1,12,uploaded,2025-08-15T00:36:18.816651
60,2024-04-01,April'24,M1,-3.69,0.08600261452,3.923662580710431,4.48868801358844,4.793116301067357,4.523430649649527,1.5741168647662906,2.2694251447940554,2024,4,2,14,uploaded,2025-08-15T00:36:18.816651
61,2024-04-15,April'24,M3,-3.38,0.1658758358,-3.69,3.923662580710431,4.48868801358844,4.793116301067357,-1.0487791397631896,1.7358867038411572,2024,4,2,16,uploaded,2025-08-15T00:36:18.816651
62,2024-04-22,April'24,M4,-3.43,0.1816,-3.38,-3.69,3.923662580710431,4.48868801358844,-3.5,1.032699649287965,2024,4,2,17,uploaded,2025-08-15T00:36:18.816651
63,2024-05-01,Mei'24,M1,1.58,0.06451612903,-3.43,-3.38,-3.69,3.923662580710431,-1.7433333333333334,0.6122095564808898,2024,5,2,18,uploaded,2025-08-15T00:36:18.816651
64,2024-05-08,Mei'24,M2,1.81,0.09593993299,1.58,-3.43,-3.38,-3.69,-0.0133333333333333,0.1860500848998388,2024,5,2,19,uploaded,2025-08-15T00:36:18.816651
65,2024-05-15,Mei'24,M3,2.08,0.09534518812,1.81,1.58,-3.43,-3.38,1.8233333333333333,-0.1580482027556526,2024,5,2,20,uploaded,2025-08-15T00:36:18.816651
66,2024-05-22,Mei'24,M4,1.89,0.09421114395,2.08,1.81,1.58,-3.43,1.9266666666666667,-0.4485714285714285,2024,5,2,21,uploaded,2025-08-15T00:36:18.816651
67,2024-05-29,Mei'24,M5,1.5,0.1325615336,1.89,2.08,1.81,1.58,1.8233333333333333,0.2928571428571428,2024,5,2,22,uploaded,2025-08-15T00:36:18.816651
68,2024-06-01,Juni'24,M1,-2.15,0.0486,1.5,1.89,2.08,1.81,0.4133333333333334,0.4685714285714286,2024,6,2,22,uploaded,2025-08-15T00:36:18.816651
69,2024-06-15,Juni'24,M3,-1.99,0.1213308298,-2.15,1.5,1.89,2.08,-0.8799999999999999,0.6742857142857144,2024,6,2,24,uploaded,2025-08-15T00:36:18.816651
70,2024-06-22,Juni'24,M4,-2.0,0.1198756012,-1.99,-2.15,1.5,1.89,-2.0466666666666664,0.1628571428571429,2024,6,2,25,uploaded,2025-08-15T00:36:18.816651
72,2024-07-08,Juli'24,M2,-1.19,0.09582659576,-1.16,-2.0,-1.99,-2.15,-1.45,-0.7285714285714285,2024,7,3,28,uploaded,2025-08-15T00:36:18.816651
73,2024-07-15,Juli'24,M3,-1.09,0.2328162843,-1.19,-1.16,-2.0,-1.99,-1.1466666666666665,-1.1542857142857144,2024,7,3,29,uploaded,2025-08-15T00:36:18.816651
74,2024-07-22,Juli'24,M4,-0.84,0.2766361649,-1.09,-1.19,-1.16,-2.0,-1.0399999999999998,-1.4885714285714289,2024,7,3,30,uploaded,2025-08-15T00:36:18.816651
75,2024-08-01,Agustus'24,M1,0.76,0.04804583838,-0.84,-1.09,-1.19,-1.16,-0.3899999999999999,-1.0728571428571427,2024,8,3,31,uploaded,2025-08-15T00:36:18.816651
76,2024-08-08,Agustus'24,M2,1.01,0.08561326348,0.76,-0.84,-1.09,-1.19,0.3100000000000001,-0.6442857142857142,2024,8,3,32,uploaded,2025-08-15T00:36:18.816651
77,2024-08-15,Agustus'24,M3,1.05,0.07784548211,1.01,0.76,-0.84,-1.09,0.94,-0.2085714285714285,2024,8,3,33,uploaded,2025-08-15T00:36:18.816651
78,2024-08-22,Agustus'24,M4,0.81,0.09967019534,1.05,1.01,0.76,-0.84,0.9566666666666668,0.0728571428571428,2024,8,3,34,uploaded,2025-08-15T00:36:18.816651
79,2024-08-29,Agustus'24,M5,0.35,0.165496222,0.81,1.05,1.01,0.76,0.7366666666666668,0.2928571428571428,2024,8,3,35,uploaded,2025-08-15T00:36:18.816651
80,2024-09-01,September'24,M1,-2.58,0.05024977592,0.35,0.81,1.05,1.01,-0.4733333333333332,0.0799999999999999,2024,9,3,35,uploaded,2025-08-15T00:36:18.816651
81,2024-09-08,September'24,M2,-2.88,0.08071300023,-2.58,0.35,0.81,1.05,-1.7033333333333331,-0.2114285714285714,2024,9,3,36,uploaded,2025-08-15T00:36:18.816651
82,2024-09-15,September'24,M3,-3.05,0.1081811172,-2.88,-2.58,0.35,0.81,-2.8366666666666664,-0.7557142857142857,2024,9,3,37,uploaded,2025-08-15T00:36:18.816651
83,2024-09-22,September'24,M4,-3.03,0.1116082375,-3.05,-2.88,-2.58,0.35,-2.9866666666666664,-1.332857142857143,2024,9,3,38,uploaded,2025-08-15T00:36:18.816651
85,2024-10-08,Oktober'24,M2,-0.1,0.0319421985875593,-0.03,-3.03,-3.05,-2.88,-1.053333333333333,-1.617142857142857,2024,10,4,41,uploaded,2025-08-15T00:36:18.816651
86,2024-10-15,Oktober'24,M3,-0.06,0.03956351647,-0.1,-0.03,-3.03,-3.05,-0.0633333333333331,-1.6757142857142855,2024,10,4,42,uploaded,2025-08-15T00:36:18.816651
87,2024-10-22,Oktober'24,M4,0.02,0.0475959031,-0.06,-0.1,-0.03,-3.03,-0.0466666666666665,-1.304285714285714,2024,10,4,43,uploaded,2025-08-15T00:36:18.816651
88,2024-10-29,Oktober'24,M5,0.19,0.049422,0.02,-0.06,-0.1,-0.03,0.0500000000000001,-0.8657142857142857,2024,10,4,44,uploaded,2025-08-15T00:36:18.816651
90,2024-11-08,November'24,M2,0.64,0.01573272468,0.78,0.19,0.02,-0.06,0.5366666666666667,0.2057142857142857,2024,11,4,45,uploaded,2025-08-15T00:36:18.816651
91,2024-11-15,November'24,M3,0.7,0.0430544149830235,0.64,0.78,0.19,0.02,0.7066666666666669,0.31,2024,11,4,46,uploaded,2025-08-15T00:36:18.816651
92,2024-11-22,November'24,M4,0.72,0.0702,0.7,0.64,0.78,0.19,0.6866666666666669,0.4271428571428571,2024,11,4,47,uploaded,2025-08-15T00:36:18.816651
93,2024-12-01,Desember'24,M1,0.14,0.0,0.72,0.7,0.64,0.78,0.5200000000000001,0.4557142857142858,2024,12,4,48,uploaded,2025-08-15T00:36:18.816651
94,2024-12-08,Desember'24,M2,0.36,0.0335323233437871,0.14,0.72,0.7,0.64,0.4066666666666668,0.5042857142857143,2024,12,4,49,uploaded,2025-08-15T00:36:18.816651
95,2024-12-15,Desember'24,M3,0.71,0.109,0.36,0.14,0.72,0.7,0.4033333333333335,0.5785714285714285,2024,12,4,50,uploaded,2025-08-15T00:36:18.816651
96,2024-12-22,Desember'24,M4,1.04,0.1944873725,0.71,0.36,0.14,0.72,0.7033333333333335,0.6157142857142858,2024,12,4,51,uploaded,2025-08-15T00:36:18.816651
